post,pre,rating,measure,prob,lower,upper
convo,tracker,sda_da,fd,-0.3340525302,-0.3884237799,-0.2822917947
convo,tracker,n,fd,-0.01787743661,-0.05801042048,0.02226495639
convo,tracker,a_sa,fd,0.3519299668,0.3009061789,0.4048364952
convo,reviewer,sda_da,fd,0.09804023131,0.05800492281,0.138995697
convo,reviewer,n,fd,0.05607367093,0.01896716975,0.091772383
convo,reviewer,a_sa,fd,-0.1541139022,-0.209346681,-0.09789587861
convo,tracker,sda_da,rr,0.3902283315,0.3246076705,0.458917781
convo,tracker,n,rr,0.911803717,0.7229929258,1.135457573
convo,tracker,a_sa,rr,2.344102024,2.026542424,2.727370257
convo,reviewer,sda_da,rr,1.865974763,1.437389087,2.401442953
convo,reviewer,n,rr,1.501098905,1.146913416,1.905426753
convo,reviewer,a_sa,rr,0.8001051412,0.735559425,0.8680909132
reviewer,tracker,sda_da,fd,-0.4318393961,-0.4773961558,-0.3825101456
reviewer,tracker,n,fd,-0.07329322189,-0.1071513345,-0.03446261173
reviewer,tracker,a_sa,fd,0.505132618,0.4533863507,0.5527991827
reviewer,convo,sda_da,fd,-0.097170975,-0.1389338684,-0.05949044068
reviewer,convo,n,fd,-0.05598951837,-0.09089818176,-0.02135811211
reviewer,convo,a_sa,fd,0.1531604934,0.1010208716,0.2077898775
reviewer,tracker,sda_da,rr,0.2115319307,0.1702313232,0.2571500953
reviewer,tracker,n,rr,0.6153590624,0.4879302572,0.7829659718
reviewer,tracker,a_sa,rr,2.929257328,2.518265422,3.36662994
reviewer,convo,sda_da,rr,0.5476355238,0.4253000267,0.690470228
reviewer,convo,n,rr,0.6772441921,0.5228175442,0.8610926044
reviewer,convo,a_sa,rr,1.25023149,1.15531032,1.355891986
tracker,reviewer,sda_da,fd,0.4323632903,0.3818320189,0.4802207448
tracker,reviewer,n,fd,0.07257589421,0.03709525968,0.111597215
tracker,reviewer,a_sa,fd,-0.5049391845,-0.5540606968,-0.4533420473
tracker,convo,sda_da,fd,0.3337180289,0.2727518225,0.3849974509
tracker,convo,n,fd,0.01671873003,-0.02513673536,0.05975216881
tracker,convo,a_sa,fd,-0.3504367589,-0.4092220794,-0.2916359892
tracker,reviewer,sda_da,rr,4.809778129,3.837753093,5.936957211
tracker,reviewer,n,rr,1.644359182,1.283592817,2.103162558
tracker,reviewer,a_sa,rr,0.3442515062,0.2952126504,0.3993835574
tracker,convo,sda_da,rr,2.573226765,2.123490913,3.085715914
tracker,convo,n,rr,1.105544673,0.8673324142,1.398148076
tracker,convo,a_sa,rr,0.4305353398,0.3669335046,0.5029931928
